sec	ECG
0.032	-0.0178833
0.034	-0.0160522
0.036	-0.0133667
0.038	-0.0101929
0.04	-0.00762939
0.042	-0.00604248
0.044	-0.00598145
0.046	-0.00708008
0.048	-0.00878906
0.05	-0.010498
0.052	-0.012207
0.054	-0.0134888
0.056	-0.0140991
0.058	-0.0137329
0.06	-0.0126953
0.062	-0.0114746
0.064	-0.010437
0.066	-0.0103149
0.068	-0.0109863
0.07	-0.0117188
0.072	-0.0129395
0.074	-0.0137939
0.076	-0.0142822
0.078	-0.0145874
0.08	-0.0148315
0.082	-0.0153809
0.084	-0.0161133
0.086	-0.0168457
0.088	-0.0175171
0.09	-0.0178223
0.092	-0.0175781
0.094	-0.0170898
0.096	-0.0166016
0.098	-0.0162964
0.1	-0.0162964
0.102	-0.0162964
0.104	-0.0162964
0.106	-0.0160522
0.108	-0.0158081
0.11	-0.015686
0.112	-0.015686
0.114	-0.015625
0.116	-0.0151978
0.118	-0.0147095
0.12	-0.0148926
0.122	-0.0170288
0.124	-0.0222168
0.126	-0.0308228
0.128	-0.0432739
0.13	-0.0584717
0.132	-0.0737305
0.134	-0.0855103
0.136	-0.0914917
0.138	-0.0904541
0.14	-0.081604
0.142	-0.0644531
0.144	-0.0384521
0.146	-0.00445557
0.148	0.0356445
0.15	0.0795288
0.152	0.124207
0.154	0.170349
0.156	0.224121
0.158	0.292786
0.16	0.381409
0.162	0.487549
0.164	0.596008
0.166	0.682434
0.168	0.724365
0.17	0.71051
0.172	0.641907
0.174	0.528503
0.176	0.385315
0.178	0.230591
0.18	0.0834961
0.182	-0.0394287
0.184	-0.125427
0.186	-0.168396
0.188	-0.171448
0.19	-0.145874
0.192	-0.106934
0.194	-0.0689697
0.196	-0.0410767
0.198	-0.026062
0.2	-0.0213013
0.202	-0.0211792
0.204	-0.0217285
0.206	-0.0214233
0.208	-0.0213623
0.21	-0.0238647
0.212	-0.0298462
0.214	-0.0385132
0.216	-0.0480347
0.218	-0.0548096
0.22	-0.057251
0.222	-0.0561523
0.224	-0.0531616
0.226	-0.0507813
0.228	-0.0509033
0.23	-0.053833
0.232	-0.0576782
0.234	-0.0605469
0.236	-0.0609131
0.238	-0.0587158
0.24	-0.0551147
0.242	-0.0518188
0.244	-0.0501099
0.246	-0.0506592
0.248	-0.0527344
0.25	-0.0552368
0.252	-0.0566406
0.254	-0.0567627
0.256	-0.0560913
0.258	-0.0551147
